URLs Downloaded, SizeKB, # of outlinks found, Content-type
https://www.nytimes.com/,777,145,text/html
https://www.nytimes.com/2023/10/07/opinion/wnba-liberty-championship.html,226,41,text/html
https://www.nytimes.com/by/lindsay-crouse,283,51,text/html
https://www.nytimes.com/section/us,640,59,text/html
https://www.nytimes.com/2022/06/22/opinion/title-ix.html,281,71,text/html
https://www.nytimes.com/vi-assets/static-assets/ios-iphone-114x144-080e7ec6514fdc62bcbb7966d9b257d2.png,2,0,image/png
https://www.nytimes.com/svc/oembed/json/?url=https%3A%2F%2Fwww.nytimes.com%2F2023%2F10%2F07%2Fopinion%2Fwnba-liberty-championship.html,1,4,application/json
https://www.nytimes.com/column/california-today,459,50,text/html
https://www.nytimes.com/2023/10/08/business/economy/labor-strikes.html,240,51,text/html
https://www.nytimes.com/2019/01/31/opinion/letters/letters-to-editor-new-york-times-women.html,200,39,text/html
https://www.nytimes.com/2023/10/08/world/europe/hroza-ukraine-attack.html,243,42,text/html
https://www.nytimes.com/2023/10/08/technology/prediction-markets-manifold-manifest.html,283,50,text/html
https://www.nytimes.com/2023/08/22/business/economy/ups-contract-vote-teamsters.html,205,45,text/html
https://www.nytimes.com/2022/06/04/opinion/amber-heard-johnny-depp-trial-celebrity.html,226,54,text/html
https://www.nytimes.com/2023/10/06/briefing/the-weekender.html,234,43,text/html
https://www.nytimes.com/interactive/2023/09/20/world/europe/ukraine-war-counteroffensive-robotyne.html,619,47,text/html
https://www.nytimes.com/2021/10/08/sports/soccer/womens-soccers-problem-with-men.html,238,42,text/html
https://www.nytimes.com/international/section/us,641,59,text/html
https://www.nytimes.com/2023/10/05/us/kaiser-permanente-strike.html,246,47,text/html
https://www.nytimes.com/es/section/estados-unidos,816,80,text/html
https://www.nytimes.com/by/david-guttenfelder,457,48,text/html
https://www.nytimes.com/by/thomas-gibbons-neff,639,49,text/html
https://www.nytimes.com/2021/04/04/sports/ncaabasketball/womens-basketball-ncaa-tournament.html,271,52,text/html
https://www.nytimes.com/svc/oembed/json/?url=https%3A%2F%2Fwww.nytimes.com%2F2021%2F10%2F08%2Fsports%2Fsoccer%2Fwomens-soccers-problem-with-men.html,1,4,application/json
https://www.nytimes.com/sitemap/,118,203,text/html
https://www.nytimes.com/2023/10/05/arts/music/tupac-murder-testimony-keffe-d.html,260,44,text/html
https://www.nytimes.com/2022/01/28/opinion/smartwatch-health-body.html,223,56,text/html
https://www.nytimes.com/2004/05/23/opinion/editors-note-the-letters-editor-and-the-reader-our-compact-updated.html,171,31,text/html
https://www.nytimes.com/2023/08/16/business/economy/union-leaders-teamsters-uaw-hollywood.html,237,65,text/html
https://www.nytimes.com/section/reader-center,797,101,text/html
https://www.nytimes.com/2020/12/25/arts/music/pop-music-superfans-stans.html,265,61,text/html
https://www.nytimes.com/subscription?campaignId=48JQY,14,2,text/html
https://www.nytimes.com/2021/02/13/technology/slate-star-codex-rationalists.html,283,66,text/html
https://www.nytimes.com/2023/10/08/us/texas-migrants-housing-colony-ridge.html,262,39,text/html
https://www.nytimes.com/2023/08/12/opinion/lk-99-room-temperature-superconductor.html,269,30,text/html
https://www.nytimes.com/sitemap/1913/,72,39,text/html
https://www.nytimes.com/svc/oembed/json/?url=https%3A%2F%2Fwww.nytimes.com%2F2019%2F01%2F31%2Fopinion%2Fletters%2Fletters-to-editor-new-york-times-women.html,1,4,application/json
https://www.nytimes.com/2022/05/12/us/politics/abortion-protests-supreme-court-justices.html,218,42,text/html
https://www.nytimes.com/by/noam-scheiber,371,50,text/html
https://www.nytimes.com/2022/02/13/opinion/culture/beijing-olympics-inspiring-moments.html,226,64,text/html
https://www.nytimes.com/interactive/2023/10/05/travel/things-to-do-florence.html,177,65,text/html
https://www.nytimes.com/2023/10/07/opinion/term-limits-congress.html,246,42,text/html
https://www.nytimes.com/by/kevin-draper,463,49,text/html
https://www.nytimes.com/2021/08/06/sports/olympics/allyson-felix-olympic-medals-tokyo.html,214,39,text/html
https://www.nytimes.com/by/lauren-leatherby,532,45,text/html
https://www.nytimes.com/2023/10/06/world/europe/ukraine-hroza-kharkiv-attack-russia.html,211,41,text/html
https://www.nytimes.com/2023/07/11/world/europe/russia-ukraine-counteroffensive-trenches.html,251,42,text/html
https://www.nytimes.com/interactive/2022/us/fire-tracker-maps.html,363,76,text/html
https://www.nytimes.com/2023/09/26/us/california-art-favorites.html,257,55,text/html
https://www.nytimes.com/es/2023/09/27/espanol/cierre-estados-unidos.html,224,46,text/html
https://www.nytimes.com/2023/10/04/health/kaiser-strike-health-care.html,246,32,text/html
https://www.nytimes.com/live/2023/09/11/world/russia-ukraine-news/an-arms-dealer-finds-a-fortune-from-ukrainian-military-ties-and-pentagon-cash,842,86,text/html
https://www.nytimes.com/es/2023/10/07/espanol/nueva-york-crisis-migrante-vendedores.html,246,36,text/html
https://www.nytimes.com/2023/10/04/us/san-francisco-restaurants.html,242,56,text/html
https://www.nytimes.com/2023/10/07/us/california-caste-discrimination.html,196,41,text/html
https://www.nytimes.com/svc/oembed/json/?url=https%3A%2F%2Fwww.nytimes.com%2F2023%2F10%2F08%2Fworld%2Feurope%2Fhroza-ukraine-attack.html,1,4,application/json
https://www.nytimes.com/es/2023/07/13/espanol/guerra-rusia-ucrania.html,239,37,text/html
https://www.nytimes.com/sitemap/2016/,72,39,text/html
https://www.nytimes.com/section/sports/soccer,718,81,text/html
https://www.nytimes.com/ca/,780,146,text/html
https://www.nytimes.com/interactive/2019/12/31/opinion/equalplay.html,122,35,text/html
https://www.nytimes.com/2023/10/04/world/asia/mongolia-tibetan-buddhism-bogd.html,303,41,text/html
https://www.nytimes.com/2022/02/11/opinion/culture/queen-of-basketball-lusia-harris.html,212,48,text/html
https://www.nytimes.com/2021/06/22/business/economy/amazon-union-teamsters.html,201,38,text/html
https://www.nytimes.com/svc/oembed/json/?url=https%3A%2F%2Fwww.nytimes.com%2F2023%2F10%2F08%2Fbusiness%2Feconomy%2Flabor-strikes.html,1,4,application/json
https://www.nytimes.com/section/opinion/letters,248,51,text/html
https://www.nytimes.com/2022/06/01/arts/depp-heard-trial.html,244,42,text/html
https://www.nytimes.com/section/technology,944,78,text/html
https://www.nytimes.com/sitemap/2012/,72,39,text/html
https://www.nytimes.com/interactive/2023/10/07/world/middleeast/israel-gaza-maps.html,230,54,text/html
https://www.nytimes.com/by/kevin-roose,363,52,text/html
https://www.nytimes.com/sitemap/1885/,72,39,text/html
https://www.nytimes.com/2022/05/20/opinion/johnny-depp-amber-heard-social-media-sexism.html,231,66,text/html
https://www.nytimes.com/2023/10/05/business/economy/shawn-fain-uaw-profile.html,281,50,text/html
https://www.nytimes.com/svc/oembed/json/?url=https%3A%2F%2Fwww.nytimes.com%2F2023%2F08%2F22%2Fbusiness%2Feconomy%2Fups-contract-vote-teamsters.html,1,4,application/json
https://www.nytimes.com/2022/01/08/opinion/novak-djokovic-australian-open-vaccine.html,228,52,text/html
https://www.nytimes.com/2023/10/03/science/same-sex-behavior-evolution-mammals.html,204,40,text/html
https://www.nytimes.com/section/books/review,500,89,text/html
https://www.nytimes.com/2021/10/20/sports/women-soccer-abuse-ceo.html,200,34,text/html
https://www.nytimes.com/sitemap/1905/,72,39,text/html
https://www.nytimes.com/news-event/ukraine-russia,901,70,text/html
https://www.nytimes.com/2019/11/07/opinion/nike-running-mary-cain.html,289,41,text/html
https://www.nytimes.com/2023/10/08/us/crimecon-true-crime-idaho-murder-stacy-chapin.html,245,35,text/html
https://www.nytimes.com/2023/10/06/us/berkeley-indigenous-peoples-day.html,249,51,text/html
https://www.nytimes.com/live/2023/10/05/world/russia-ukraine-news/ukrainian-officials-say-a-russian-strike-killed-dozens-in-the-kharkiv-region,945,83,text/html
https://www.nytimes.com/2023/09/18/world/europe/ukraine-missile-kostiantynivka-market.html,340,70,text/html
https://www.nytimes.com/2023/09/18/us/missing-f35-military-jet-charleston.html,209,45,text/html
https://www.nytimes.com/2023/09/17/world/europe/ukraine-russia-war-klishchiivka-bakhmut.html,231,56,text/html
https://www.nytimes.com/2023/09/25/us/bay-area-dark-skies.html,245,52,text/html
https://www.nytimes.com/2023/07/25/world/europe/ukraine-marines-front-line.html,221,38,text/html
https://www.nytimes.com/2023/10/07/us/politics/laphonza-butler-uber-lobbying.html,250,47,text/html
https://www.nytimes.com/2023/10/03/us/kevin-mccarthy-house-speaker.html,212,37,text/html
https://www.nytimes.com/by/andrew-e-kramer,428,50,text/html
https://www.nytimes.com/2019/12/31/opinion/Women-coaching-sports-title-ix.html,271,43,text/html
https://www.nytimes.com/sitemap/yesterday/,136,126,text/html
https://www.nytimes.com/by/juliet-macur,290,49,text/html
https://www.nytimes.com/2023/10/05/magazine/jack-fisk-movie-sets.html,339,41,text/html
https://www.nytimes.com/2023/08/18/opinion/womens-world-cup-final-uswnt-megan-rapinoe.html,225,50,text/html
https://www.nytimes.com/2023/06/16/business/economy/ups-union-workers-strike.html,209,39,text/html
https://www.nytimes.com/svc/oembed/json/?url=https%3A%2F%2Fwww.nytimes.com%2F2023%2F10%2F08%2Ftechnology%2Fprediction-markets-manifold-manifest.html,1,4,application/json
https://www.nytimes.com/2023/10/08/opinion/supreme-court-reputation.html,215,46,text/html
https://www.nytimes.com/section/sports,309,59,text/html
https://www.nytimes.com/sitemap/1901/,72,39,text/html
https://www.nytimes.com/by/karen-yourish,779,50,text/html
